datetime,open,high,low,close,volume,Ticker
2021-05-07,252.14999,254.30000,251.17000,252.46001,27032900,MSFT
2021-05-10,250.87000,251.73000,247.12000,247.17999,29299900,MSFT
2021-05-11,244.55000,246.60001,242.57001,246.23000,33641600,MSFT
2021-05-12,242.17000,244.38000,238.070007,239,36684400,MSFT
2021-05-13,241.80000,245.60001,241.42000,243.029999,29624300,MSFT
2021-05-14,245.58000,249.17999,245.49001,248.14999,23901100,MSFT
2021-05-17,246.55000,246.59000,243.52000,245.17999,24970200,MSFT
2021-05-18,246.27000,246.41000,242.89999,243.080002,20168000,MSFT
2021-05-19,239.31000,243.23000,238.60001,243.12000,25739800,MSFT
2021-05-20,243.96001,247.95000,243.86000,246.48000,21800700,MSFT
2021-05-21,247.57001,248.33000,244.74001,245.17000,21863100,MSFT
2021-05-24,247.78999,251.16000,247.50999,250.78000,21411500,MSFT
2021-05-25,251.77000,252.75,250.82001,251.72000,17704300,MSFT
2021-05-26,251.42999,252.94000,250.75,251.49001,17771600,MSFT
2021-05-27,251.17000,251.48000,249.25,249.31000,24426200,MSFT
2021-05-28,251,252.080002,249.56000,249.67999,18270200,MSFT
2021-06-01,251.23000,251.28999,246.96001,247.39999,23213300,MSFT
2021-06-02,248.13000,249.27000,245.84000,247.30000,19406700,MSFT
2021-06-03,245.22000,246.34000,243,245.71001,25307700,MSFT
2021-06-04,247.75999,251.64999,247.50999,250.78999,25281100,MSFT
2021-06-07,249.98000,254.089996,249.81000,253.81000,23079200,MSFT
2021-06-08,255.16000,256.010010,252.50999,252.57001,22455000,MSFT
2021-06-09,253.81000,255.53000,253.21001,253.59000,17937600,MSFT
2021-06-10,254.28999,257.45999,253.67000,257.23999,24563600,MSFT
2021-06-11,257.98999,258.48999,256.60999,257.89001,18999700,MSFT
2021-06-14,257.89999,259.95001,256.79999,259.89001,19150500,MSFT
2021-06-15,259.76999,259.98999,257.67999,258.35999,18038900,MSFT
2021-06-16,259.39999,260.57999,254.42000,257.38000,27220000,MSFT
2021-06-17,256.070007,261.75,256.010010,260.89999,27565500,MSFT
2021-06-18,259.63000,262.29999,258.75,259.42999,37202200,MSFT
2021-06-21,259.82001,263.51999,257.92001,262.63000,26696100,MSFT
2021-06-22,262.72000,265.79001,262.39999,265.51001,24694100,MSFT
2021-06-23,265.98999,266.82999,264.42999,265.26999,19518700,MSFT
2021-06-24,266.16000,267.85001,265.47000,266.69000,21446900,MSFT
2021-06-25,266.23001,267.25,264.76001,265.019989,25611100,MSFT
2021-06-28,266.19000,268.89999,265.91000,268.72000,19590000,MSFT
2021-06-29,268.87000,271.64999,267.98001,271.39999,19937800,MSFT
2021-06-30,270.69000,271.35999,269.60001,270.89999,21656500,MSFT
2021-07-01,269.60999,271.84000,269.60001,271.60001,16725300,MSFT
2021-07-02,272.82001,278,272.5,277.64999,26458000,MSFT
2021-07-06,278.029999,279.37000,274.29999,277.66000,31565600,MSFT
2021-07-07,279.39999,280.69000,277.14999,279.92999,23260000,MSFT
2021-07-08,276.89999,278.73001,274.87000,277.42001,24618600,MSFT
